USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Pc/Cx,Pc/Cx,70% PASTO CULTIVADO CON 30% ARBORICULTURA TROPICAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,4230568
Pc/Ce,Pc/Ce,70% PASTO CULTIVADO CON 30% CULTIVO DE CEREALES,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,831904
Bi/Va,Bi/Va,70% BOSQUE INTERVENIDO CON 30% VEGETACION ARBUSTIVA,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,13074296
Pn,Pn,100% PASTO NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,38236
Bi-Cc,Bi-Cc,50% BOSQUE INTERVENIDO CON 50% CULTIVOS DE CICLO CORTO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,626919
Cc/Af,Cc/Af,CULTIVOS DE CICLO CORTO  EN AREAS CON FUERTE PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,1953786
Va/Pn,Va/Pn,70% VEGETACION ARBUSTIVA CON 30% PASTO NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,7462574
Pr,Pr,100% PARAMO,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,6838542
Cm/Ap,Cm/Ap,CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,13312905
Wn,Wn,100% CUERPO DE AGUA NATURAL,170181,SAN JOSE DE MINAS,,,,QUITO,,PICHINCHA,170181,SAN JOSE DE MINAS,0,2012,1701,QUITO,17,PICHINCHA,,,,,,,,,453924
