USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cc,Cc,100% CULTIVO DE CICLO CORTO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,170613
Er,Er,100% AFLORAMIENTO ROCOSO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,199879
Pn/Ae,Pn/Ae,AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE PASTO NATURAL,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1073758
Bi/Cm,Bi/Cm,70% BOSQUE INTERVENIDO CON 30% CULTIVO DE MAIZ,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,600301
On,On,100% NIEVE O HIELO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,5696403
Ae,Ae,AREA EROSIONADA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,8521354
Va/Er,Va/Er,70% VEGETACION ARBUSTIVA CON 30% AFLORAMIENTO ROCOSO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,5208666
Va/Bi,Va/Bi,70% VEGETACION ARBUSTIVA CON 30% BOSQUE INTERVENIDO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,6410075
Cm/Pc,Cm/Pc,70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1323660
Cm/Va,Cm/Va,70% CULTIVO DE MAIZ CON 30% VEGETACION ARBUSTIVA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,44241
Bn,Bn,100% BOSQUE NATURAL,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,104888
Cm/Ap,Cm/Ap,CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1058195
Cd/Af,Cd/Af,CULTIVOS DE CEBADA  EN AREAS CON FUERTE PROCESO DE EROSION,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1087366
Va,Va,100% VEGETACION ARBUSTIVA,050552,CUSUBAMBA,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,5116194
