USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cc/Pc,Cc/Pc,70% CULTIVO DE CICLO CORTO CON 30% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,29473849
Cc,Cc,100% CULTIVO DE CICLO CORTO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,691688
Cm,Cm,100% CULTIVO DE MAIZ,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,3287992
Cc/Va,Cc/Va,70% CULTIVO DE CICLO CORTO CON 30% VEGETACION ARBUSTIVA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,2683632
Ce-Pc,Ce-Pc,50% CULTIVO DE CEREALES CON 50% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,19696538
Cw,Cw,100% CULTIVO DE BROCOLI,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,862263
Pc/Cp,Pc/Cp,70% PASTO CULTIVADO CON 30% CULTIVO DE PAPA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,7892
Cp/Pc,Cp/Pc,70% CULTIVO DE PAPA CON 30% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,828173
Ae,Ae,AREA EROSIONADA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,7315229
Va/Er,Va/Er,70% VEGETACION ARBUSTIVA CON 30% AFLORAMIENTO ROCOSO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,5071279
Cm/Pc,Cm/Pc,70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,11663936
Ce/Ap,Ce/Ap,CULTIVO DE CEREALES EN AREAS CON PROCESO DE EROSION,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,107607
Ce/Cm,Ce/Cm,70% CULTIVO DE CEREALES CON 30% CULTIVO DE MAIZ,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,93672
Ce/Pc,Ce/Pc,70% CULTIVO DE CEREALES CON 30% PASTO CULTIVADO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,583993
Bp-Cr,Bp-Cr,50% BOSQUE PLANTADO CON 50% CULTIVO DE FRUTALES,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,222865
Ce,Ce,100% CULTIVO DE CEREALES,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,1104146
Va,Va,100% VEGETACION ARBUSTIVA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,228431
Pc/Cc,Pc/Cc,70% PASTO CULTIVADO CON 30% CULTIVO DE CICLO CORTO,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,2191521
Va/Cp,Va/Cp,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE PAPA,050550,SAN MIGUEL,0,2012,0505,SALCEDO,05,COTOPAXI,,,,,,,,,,,,,,,,,55692
