Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
Cumbi3,Cuerpo Agua,Rio,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Riego consumo energia,*No Aplica*,Natural,,1,No aplicable,No aplicable,285078.48963,4526069.72872,452.606972872,67573,67573
Cumbi3,Cultivo,haba,Ciclo corto,Frio,Sin cubierta,PASTO CULTIVADO,MAIZ SUAVE,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Mosaicos-Con riego-Parcela pequeña-Frio,Zona 19,10690.9732389,2028026.52033,202.802652033,2052810,8096508
Cumbi3,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,PAPA,HABA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Sin riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Sin riego-Parcela pequeña-Frio,Zona 22,26503.5056392,12969766.6644,1296.97666644,537647,1376569
Cumbi3,Vegetacion Arbustiva,Vegetacion arbustiva seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Pastoreo ocasional,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,3386.75197942,72387.0429284,7.2387042928,44510,336057
Cumbi3,Vegetacion Herbacea,Vegetacion herbacea seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,198998.510883,23275883.383,2327.5883383,1819591,1824811
Cumbi3,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Conservacion y produccion,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,7017.92951426,185124.052154,18.5124052154,156670,296010
