Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,AREA,area_recal
Q1,Paramo,Vegetacion herbacea de altura,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,2318592.46188,599974986.353,59997.4986353,1974628,5448785
Q1,Cultivo,cebolla blanca de rama,Ciclo corto,Frio,Sin cubierta,HABA,PAPA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Sin riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Mosaicos-Sin riego-Parcela pequeña-Frio,Zona 22,19990.5113659,3448120.84506,344.812084506,2924414,4455231
Q1,Infraestructura Antropica,RED VIARIA,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,Transporte,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,170333.824535,715147.879644,71.5147879644,77517,77517
Q1,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Marginal,Parcelas medianas sierra,Sin riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Pastizales-Sin riego-Parcela mediana-Frio,Zona 29,3819.35135911,367171.972606,36.7171972606,17457,2279521
Q1,Erial,Otro,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Improductivo,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,1044.11578651,28839.1494881,2.8839149488,29208,29208
Q1,Vegetacion Herbacea,Vegetacion herbacea de humedal,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Poco alterado,*No Aplica*,,1,No aplicable,No aplicable,7306.10111575,635193.372052,63.5193372052,423861,423861
