Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
CUSU2,Cuerpo Agua,Lago / Laguna,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Riego extractivo ocio,*No Aplica*,Natural,,1,No aplicable,No aplicable,483.711782032,17547.5315162,1.7547531516,17771,17771
CUSU2,Paramo,Vegetacion herbacea de altura,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,2318592.46188,599974986.353,59997.4986353,12533,91193
CUSU2,Cultivo,haba,Ciclo corto,Frio,Sin cubierta,PASTO CULTIVADO,CEBADA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Sin riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Mosaicos-Sin riego-Parcela pequeña-Frio,Zona 22,26242.2632976,6767543.27023,676.754327023,5744932,9415300
CUSU2,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Empresarial,Parcelas grandes sierra,Con riego,Pecuario bovino intensivo,*No Aplica*,*No Aplica*,,1,Pastizales-Con riego-Parcela grande-Frio,Zona 27,1266.29779207,75539.9619927,7.5539961993,76501,1098748
CUSU2,Area Poblada,Poblado (nucleo urbano poblado),*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Habitacional,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,8624.94076501,305832.171719,30.5832171719,32757,139867
CUSU2,Vegetacion Arbustiva,Vegetacion arbustiva humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,3932.90433462,241132.318532,24.1132318532,37064,721862
CUSU2,Vegetacion Herbacea,Vegetacion herbacea seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,81367.8443096,7612954.34372,761.295434372,152492,152492
CUSU2,Plantacion Forestal,Pino,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Forestal para madera,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,6965.46906939,461470.047386,46.1470047386,285029,1075831
