USO,CODIGO,First_DESC,DPA_PARROQ,DPA_DESPAR,DPA_VALOR,DPA_ANIO,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,dpa_parr_1,dpa_desp_1,dpa_valor_,dpa_anio_2,dpa_cant_1,dpa_desc_1,dpa_prov_1,dpa_desp_2,dpa_parr_2,dpa_desp_3,dpa_valo_1,dpa_anio_3,dpa_cant_2,dpa_desc_2,dpa_prov_2,dpa_desp_4,area
Cc,Cc,100% CULTIVO DE CICLO CORTO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,12476910
Cc/Bi,Cc/Bi,70% CULTIVO DE CICLO CORTO CON 30% BOSQUE INTERVENIDO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1494660
Cc/Pc,Cc/Pc,70% CULTIVO DE CICLO CORTO CON 30% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1141712
Va/Cc,Va/Cc,70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CICLO CORTO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,472593
Cc/Cd,Cc/Cd,70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE CEBADA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1625659
Pn/Va,Pn/Va,70% PASTO NATURAL CON 30% VEGETACION ARBUSTIVA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,2248507
Bi/Va,Bi/Va,70% BOSQUE INTERVENIDO CON 30% VEGETACION ARBUSTIVA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,102653
Bn,Bn,100% BOSQUE NATURAL,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,14870105
Bp-Pc,Bp-Pc,50% BOSQUE PLANTADO CON 50% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,1241022
Cm/Pc,Cm/Pc,70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,209059
Pc/Cd,Pc/Cd,70% PASTO CULTIVADO CON 30% CULTIVO DE CEBADA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,238326
Pn-Va,Pn-Va,50% PASTO NATURAL CON 50% VEGETACION ARBUSTIVA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,812986
Cx/Pc,Cx/Pc,70% ARBORICULTURA TROPICAL CON 30% PASTO CULTIVADO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,18055503
Va,Va,100% VEGETACION ARBUSTIVA,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,26307
Pc/Cc,Pc/Cc,70% PASTO CULTIVADO CON 30% CULTIVO DE CICLO CORTO,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),,,,CHILLANES,,BOLIVAR,020251,SAN JOSE DEL TAMBO (TAMBOPAMBA),0,2012,0202,CHILLANES,02,BOLIVAR,,,,,,,,,41946843
