Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
Cumbi1,Cuerpo Agua,Rio,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Riego consumo energia,*No Aplica*,Natural,,1,No aplicable,No aplicable,285078.48963,4526069.72872,452.606972872,52401,52401
Cumbi1,Cultivo,quinua,Ciclo corto,Templado,Sin cubierta,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Ciclo corto-Con riego-Parcela pequeña-Templado,Zona 31,944.459973069,47458.355448,4.7458355448,48050,927518
Cumbi1,Infraestructura Antropica,COMPLEJO RECREACIONAL,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,Ocio,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,538.729468137,15840.2687595,1.584026876,16038,16038
Cumbi1,Pastizal,Pasto de corte (forraje),Semipermanente,Templado,*No Aplica*,MAIZ SUAVE,PAPA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Con riego-Parcela pequeña-Templado,Zona 49,60303.6507503,9271158.59366,927.115859366,5000913,7169028
Cumbi1,Area Poblada,Poblado (nucleo urbano poblado),*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Habitacional,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,10908.8150945,407557.844046,40.7557844046,2677,223383
Cumbi1,Vegetacion Herbacea,Vegetacion herbacea seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,198998.510883,23275883.383,2327.5883383,898709,1629141
Cumbi1,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Forestal para madera,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,1046.12625303,39971.912182,3.9971912182,40470,219455
