Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
Cumbi4,Vegetacion Herbacea,Vegetacion herbacea seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,198998.510883,23275883.383,2327.5883383,563344,581485
Cumbi4,Vegetacion Arbustiva,Vegetacion arbustiva humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Pastoreo ocasional,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,1647.97430242,53415.077186,5.3415077186,18690,318873
Cumbi4,Cultivo,haba,Ciclo corto,Frio,Sin cubierta,PASTO CULTIVADO,MAIZ SUAVE,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Mosaicos-Con riego-Parcela pequeña-Frio,Zona 19,10690.9732389,2028026.52033,202.802652033,1965128,7185483
Cumbi4,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,PAPA,HABA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Sin riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Sin riego-Parcela pequeña-Frio,Zona 22,26503.5056392,12969766.6644,1296.97666644,816119,4084412
Cumbi4,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Conservacion y produccion,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,7017.92951426,185124.052154,18.5124052154,170749,538759
