Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
Cumbi6,Paramo,Vegetacion herbacea de altura,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Poco alterado,*No Aplica*,,1,No aplicable,No aplicable,13347.8746802,1256317.52025,125.631752025,97979,304683
Cumbi6,Vegetacion Herbacea,Vegetacion herbacea humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Pastoreo ocasional,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,5828.60138909,226920.805891,22.6920805891,229695,229695
Cumbi6,Cultivo,haba,Ciclo corto,Frio,Sin cubierta,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Mercantil,Parcelas medianas sierra,Sin riego,Agricola extensivo,*No Aplica*,*No Aplica*,,1,Ciclo corto-Sin riego-Parcela mediana-Frio,Zona 5,1191.75839724,57145.341443,5.7145341443,40315,40315
Cumbi6,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,PAPA,HABA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Con riego-Parcela pequeña-Frio,Zona 19,26738.8443761,6102077.17249,610.207717249,1189578,12023120
Cumbi6,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Forestal para madera,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,869.444161714,22656.1261097,2.265612611,22936,110307
