Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
Cumbi5,Cultivo,haba,Ciclo corto,Frio,Sin cubierta,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Agricola extensivo,*No Aplica*,*No Aplica*,,1,Ciclo corto-Con riego-Parcela pequeña-Frio,Zona 1,517.694841998,11831.9232102,1.183192321,901,245785
Cumbi5,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,PAPA,HABA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Con riego-Parcela pequeña-Frio,Zona 19,26738.8443761,6102077.17249,610.207717249,5449194,11022994
Cumbi5,Area Poblada,Poblado (nucleo urbano poblado),*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Habitacional,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,1829.27350975,53612.335731,5.3612335731,54275,194237
Cumbi5,Vegetacion Arbustiva,Vegetacion arbustiva humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Pastoreo ocasional,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,2124.38040187,52457.7218899,5.245772189,53107,53107
Cumbi5,Vegetacion Herbacea,Vegetacion herbacea humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Pastoreo ocasional,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,12745.959615,621507.20635,62.150720635,557542,922092
Cumbi5,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Forestal para madera,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,869.444161714,22656.1261097,2.265612611,21838,270276
