Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
BQ2,Vegetacion Herbacea,Vegetacion herbacea humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,19644.4748677,4261942.82307,426.194282307,2546303,2609133
BQ2,Vegetacion Arbustiva,Vegetacion arbustiva humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,1715.35333155,36528.9983195,3.652899832,36986,203525
BQ2,Cultivo,maiz suave,Ciclo corto,Frio,Sin cubierta,PASTO CULTIVADO,No Aplica,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Mosaicos-Con riego-Parcela pequeña-Frio,Zona 19,10897.4572881,1333271.74798,133.327174798,1305587,6627415
BQ2,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,PAPA,No Aplica,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Con riego-Parcela pequeña-Frio,Zona 19,16265.515736,4010926.09788,401.092609788,305840,2846075
BQ2,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Forestal para madera,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,1159.07170102,30035.880364,3.0035880364,30407,423913
