Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
CUSU1,Cuerpo Agua,Albarrada / Reservorio,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Riego consumo,*No Aplica*,Artificial,,1,No aplicable,No aplicable,544.509298194,20355.8045218,2.0355804522,20614,33780
CUSU1,Cultivo,maiz suave,Ciclo corto,Frio,Sin cubierta,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Marginal,Parcelas pequeñas sierra,Sin riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Ciclo corto-Sin riego-Parcela pequeña-Frio,Zona 4,98718.4843013,45392504.4302,4539.25044302,524048,7653384
CUSU1,Infraestructura Antropica,COMPLEJO RECREACIONAL,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,Ocio,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,506.91260541,15490.8000146,1.5490800015,15687,15687
CUSU1,Pastizal,Pasto cultivado,Permanente,Frio,*No Aplica*,CEBADA,AVENA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Con riego-Parcela pequeña-Frio,Zona 19,4280.91652443,797039.99803,79.703999803,722608,722608
CUSU1,Area Poblada,Poblado (nucleo urbano poblado),*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Habitacional,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,8624.94076501,305832.171719,30.5832171719,255777,255777
CUSU1,Vegetacion Arbustiva,Vegetacion arbustiva humeda,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Medianamente alterado,*No Aplica*,,1,No aplicable,No aplicable,11703.7925757,585984.582714,58.5984582714,591490,782384
CUSU1,Vegetacion Herbacea,Vegetacion herbacea seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,81367.8443096,7612954.34372,761.295434372,1300168,2051154
CUSU1,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Forestal para madera,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,10876.2728266,815667.142523,81.5667142523,669150,1197718
