Location,cobertura,tipo,temporalid,pisoclimat,cubierta,tipo2,tipo3,asociacion,rotacion1,rotacion2,sistemadep,tamanoparc,riego,uso,alteracion,origenagua,observacio,control,zhc,zona,shape_leng,Shape_Area,superficie,area,area_recal
Cumbi2,Cuerpo Agua,Rio,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Riego consumo energia,*No Aplica*,Natural,,1,No aplicable,No aplicable,285078.48963,4526069.72872,452.606972872,51212,51212
Cumbi2,Cultivo,quinua,Ciclo corto,Templado,Sin cubierta,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Agricola extensivo,*No Aplica*,*No Aplica*,<Null>,1,Ciclo corto-Con riego-Parcela pequeña-Templado,Zona 31,944.459973069,47458.355448,4.7458355448,48050,4304040
Cumbi2,Pastizal,Pasto de corte (forraje),Semipermanente,Templado,*No Aplica*,MAIZ SUAVE,PAPA,Mosaico agropecuario,No Aplica,No Aplica,Mercantil,Parcelas pequeñas sierra,Con riego,Pecuario bovino extensivo,*No Aplica*,*No Aplica*,,1,Mosaicos-Con riego-Parcela pequeña-Templado,Zona 49,60303.6507503,9271158.59366,927.115859366,282160,631162
Cumbi2,Vegetacion Arbustiva,Vegetacion arbustiva seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Pastoreo ocasional,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,3386.75197942,72387.0429284,7.2387042928,66724,66724
Cumbi2,Vegetacion Herbacea,Vegetacion herbacea seca,*No Aplica*,No aplica,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,*No Aplica*,Conservacion y proteccion,Muy alterado,*No Aplica*,,1,No aplicable,No aplicable,198998.510883,23275883.383,2327.5883383,1307263,2438354
Cumbi2,Plantacion Forestal,Eucalipto,Permanente,No aplica,*No Aplica*,No Aplica,*No Aplica*,No Aplica,*No Aplica*,*No Aplica*,*No Aplica*,No aplica,*No Aplica*,Forestal para madera,*No Aplica*,*No Aplica*,,1,No aplicable,No aplicable,1046.12625303,39971.912182,3.9971912182,40470,405974
